Date,close,open,high,low,change,volume
2011-06-17,26845,-240,27230,27230,26575,42723000000
2011-06-20,26670,-175,26870,27020,26660,81008000000
2011-06-21,27075,405,26900,27120,26670,56389000000
2011-06-22,27310,235,27270,27465,27205,44204000000
2011-06-23,27100,-210,27270,27285,27050,27760000000
2011-06-24,27630,530,27210,27650,27210,74319000000
2011-06-27,27300,-330,27410,27445,27160,41043000000
2011-06-28,27255,-45,27515,27745,27255,25441000000
2011-06-29,27665,410,27615,27780,27525,36116000000
2011-06-30,27745,80,27785,27830,27615,57203000000
2011-07-01,28075,330,28040,28190,27955,44158000000
2011-07-04,28430,355,28350,28505,28300,67076000000
2011-07-05,28605,175,28435,28635,28430,75406000000
2011-07-06,28700,95,28590,28700,28535,47502000000
2011-07-07,28860,160,28690,28920,28645,90348000000
2011-07-08,28815,-45,28950,28985,28765,60198000000
2011-07-11,28500,-315,28670,28700,28455,93403000000
2011-07-12,27900,-600,28200,28200,27850,54144000000
2011-07-13,28040,140,28010,28090,27830,80734000000
2011-07-14,27965,-75,28030,28030,27675,66669000000
2011-07-15,28215,250,27965,28215,27900,70333000000
2011-07-18,27860,-355,28240,28240,27800,83628000000
2011-07-19,27880,20,27850,28045,27810,54106000000
2011-07-20,28350,470,28215,28395,28215,55474000000
2011-07-21,28185,-165,28320,28355,28085,53830000000
2011-07-22,28520,335,28435,28535,28305,79592000000
2011-07-25,28255,-265,28290,28310,28135,30646000000
2011-07-26,28435,180,28270,28435,28210,30032000000
2011-07-27,28530,95,28230,28555,28185,36648000000
2011-07-28,28210,-270,28085,28600,27970,29781000000
2011-07-29,27865,-345,28210,28230,27865,46917000000
2011-08-01,28415,550,28200,28490,28200,99689000000
2011-08-02,27700,-715,28200,28200,27650,78072000000
2011-08-03,26875,-825,27100,27200,26845,201167000000
2011-08-04,26260,-615,27100,27100,26230,165076000000
2011-08-05,25325,-935,25230,25700,25145,188330000000
2011-08-08,24360,-965,25080,25325,23225,220885000000
2011-08-09,23460,-900,23890,23935,22000,318951000000
2011-08-10,23460,0,24530,24540,23400,272001000000
2011-08-11,23490,30,22600,23820,22550,122046000000
2011-08-12,23200,-290,23845,23845,23080,123224000000
2011-08-16,24280,1080,23840,24290,23825,98175000000
2011-08-17,24435,155,24150,24655,24110,140633000000
2011-08-18,23940,-495,24425,24435,23600,131964000000
2011-08-19,22475,-1465,23200,23200,22475,122369000000
2011-08-22,22070,-405,22475,22750,21970,171630000000
2011-08-23,22895,825,22240,23035,22195,83040000000
2011-08-24,22640,-255,23160,23185,22430,93818000000
2011-08-25,22810,170,23120,23300,22765,71559000000
2011-08-26,23000,190,22700,23030,22650,56571000000
2011-08-29,23655,655,23370,23795,23075,72000000000
2011-08-30,23905,250,23920,24095,23750,108984000000
2011-08-31,24335,430,23910,24335,23765,106528000000
2011-09-01,24310,-25,24340,25005,24300,115673000000
2011-09-02,24065,-245,24290,24480,23910,164889000000
2011-09-05,23010,-1055,23710,23745,23010,89176000000
2011-09-06,22825,-185,22505,23145,22465,192476000000
2011-09-07,23750,925,23390,23755,23205,107452000000
2011-09-08,23865,115,24020,24120,23700,82824000000
2011-09-09,23400,-465,23700,23930,23385,79059000000
2011-09-14,22700,-700,23395,23440,22575,95238000000
2011-09-15,23010,310,23200,23440,22640,125476000000
2011-09-16,23885,875,23500,24005,23475,96927000000
2011-09-19,23680,-205,23750,23870,23500,129509000000
2011-09-20,23930,250,23585,24000,23325,64446000000
2011-09-21,24130,200,23980,24385,23810,136480000000
2011-09-22,23285,-845,23550,23635,23110,155182000000
2011-09-23,22030,-1255,22480,22615,21990,333080000000
2011-09-26,21545,-485,22220,22455,21500,235332000000
2011-09-27,22700,1155,22190,22700,22090,147939000000
2011-09-28,22455,-245,22890,23000,22455,111984000000
2011-09-29,23100,645,22345,23110,22245,132358000000
2011-09-30,23120,20,23080,23300,22735,151602000000
2011-10-04,22335,-785,22130,22340,21775,107642000000
2011-10-05,21910,-425,22500,22510,21830,132303000000
2011-10-06,22500,590,22430,22870,22415,159361000000
2011-10-07,23150,650,23090,23275,23025,192754000000
2011-10-10,23180,30,23165,23465,23160,133985000000
2011-10-11,23595,415,23780,23795,23570,101494000000
2011-10-12,23775,180,23595,23780,23365,115859000000
2011-10-13,23910,135,24035,24135,23910,88075000000
